descriptor,candidate_value,horizon_hours,fold_id,train_family_support,test_family_support,direction_comparison_supported,training_direction,test_direction,aggregate_family_direction,training_test_direction_agree,test_aggregate_direction_agree
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,168,1,0,0,False,,,0,False,False
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,168,2,0,0,False,,,0,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,2,0,3,0,False,,,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,2,1,3,1,True,1,-1,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,2,2,4,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,6,0,3,0,False,,,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,6,1,3,1,True,1,-1,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,6,2,4,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,24,0,3,0,False,,,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,24,1,3,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,24,2,4,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,0,3,0,False,,,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,1,3,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,2,4,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,0,3,0,False,,,1,False,False
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,1,3,1,True,1,1,1,True,True
intrinsic_subtype,SEVERE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,2,4,1,True,1,-1,1,False,False
volatility_state,VOLATILITY_EXPANSION,2,0,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,2,1,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,2,2,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,6,0,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,6,1,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,6,2,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,24,0,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,24,1,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,24,2,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,72,0,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,72,1,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,72,2,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,168,0,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,168,1,0,0,False,,,0,False,False
volatility_state,VOLATILITY_EXPANSION,168,2,0,0,False,,,0,False,False
volatility_state,VOLATILITY_NEUTRAL,2,0,4,3,True,1,-1,1,False,False
volatility_state,VOLATILITY_NEUTRAL,2,1,7,2,True,1,-1,1,False,False
volatility_state,VOLATILITY_NEUTRAL,2,2,9,3,True,-1,1,1,False,True
volatility_state,VOLATILITY_NEUTRAL,6,0,4,3,True,1,1,1,True,True
volatility_state,VOLATILITY_NEUTRAL,6,1,7,2,True,1,-1,1,False,False
volatility_state,VOLATILITY_NEUTRAL,6,2,9,3,True,1,-1,1,False,False
volatility_state,VOLATILITY_NEUTRAL,24,0,4,3,True,1,1,1,True,True
volatility_state,VOLATILITY_NEUTRAL,24,1,7,2,True,1,1,1,True,True
volatility_state,VOLATILITY_NEUTRAL,24,2,9,3,True,1,1,1,True,True
volatility_state,VOLATILITY_NEUTRAL,72,0,4,3,True,1,1,1,True,True
volatility_state,VOLATILITY_NEUTRAL,72,1,7,2,True,1,1,1,True,True
volatility_state,VOLATILITY_NEUTRAL,72,2,9,3,True,1,-1,1,False,False
volatility_state,VOLATILITY_NEUTRAL,168,0,4,3,True,1,-1,-1,False,True
volatility_state,VOLATILITY_NEUTRAL,168,1,7,2,True,1,1,-1,True,False
volatility_state,VOLATILITY_NEUTRAL,168,2,9,3,True,1,-1,-1,False,True
